Class Name,Accuracy
"('letter opener', 'paper knife', 'paperknife')",30.0
"('library',)",56.0
"('lifeboat',)",92.0
"('lighter', 'light', 'igniter', 'ignitor')",26.0
"('limousine', 'limo')",78.0
"('liner', 'ocean liner')",90.0
"('lipstick', 'lip rouge')",72.0
"('Loafer',)",72.0
"('lotion',)",42.0
"('loudspeaker', 'speaker', 'speaker unit', 'loudspeaker system', 'speaker system')",58.0
"('loupe', ""jeweler's loupe"")",40.0
"('lumbermill', 'sawmill')",60.0
"('magnetic compass',)",54.0
"('mailbag', 'postbag')",30.0
"('mailbox', 'letter box')",74.0
"('maillot',)",6.0
"('maillot', 'tank suit')",86.0
"('manhole cover',)",92.0
"('maraca',)",68.0
"('marimba', 'xylophone')",74.0
"('mask',)",68.0
"('matchstick',)",42.0
"('maypole',)",100.0
"('maze', 'labyrinth')",76.0
"('measuring cup',)",62.0
"('medicine chest', 'medicine cabinet')",42.0
"('megalith', 'megalithic structure')",76.0
"('microphone', 'mike')",62.0
"('microwave', 'microwave oven')",42.0
"('military uniform',)",54.0
"('milk can',)",20.0
"('minibus',)",68.0
"('miniskirt', 'mini')",76.0
"('minivan',)",40.0
"('missile',)",78.0
"('mitten',)",66.0
"('mixing bowl',)",68.0
"('mobile home', 'manufactured home')",64.0
"('Model T',)",90.0
"('modem',)",68.0
"('monastery',)",50.0
"('monitor',)",26.0
"('moped',)",52.0
"('mortar',)",50.0
"('mortarboard',)",64.0
"('mosque',)",92.0
